No,Financial Year Name,Season Name,District Name ,Taluk Name ,Raitha Samparka Kendra Name,Seed Name ,Seed Variety Name,Seed Class Name,GENERAL QUANTITY in Quintal,SCP QUANTITY in Quintal,TSP QUANTITY in Quintal
1,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,GREENGRAM,BGS-9,Certified Seeds,10.1,2.93,1.2
2,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,GREENGRAM,BGS-9,Truthfully Labelled,8.6,0.8,0.6
3,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY BAJRA,1827,Truthfully Labelled,1.73,0.35,0.2
4,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY BAJRA,GK-1044,Truthfully Labelled,5.94,1.3,0.65
5,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY BAJRA,JKBH-26,Truthfully Labelled,1.05,0.06,0.12
6,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY BAJRA,KAVERI SUPER BOSS,Truthfully Labelled,3.9,0.53,0.21
7,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY BAJRA,MRB-2262,Truthfully Labelled,0.23,0,0
8,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY BAJRA,NBH-4903 BALAWAN,Truthfully Labelled,0.21,0,0.02
9,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY BAJRA,SBH-7072,Truthfully Labelled,2.24,0.33,0.12
10,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY JOWAR,HTJH- 3208,Truthfully Labelled,0,0,0.03
11,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY JOWAR,JKSH-22,Truthfully Labelled,1.26,0.03,0.12
12,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,3033 747,Truthfully Labelled,3.32,1.52,0.08
13,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,30B07,Truthfully Labelled,35.36,4.12,0.36
14,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,3591,Truthfully Labelled,6.52,0.76,0.6
15,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,900M GOLD,Truthfully Labelled,20.92,3.44,1.24
16,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,ALLROUNDER,Truthfully Labelled,9.56,0.48,0.16
17,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,BIO-151,Truthfully Labelled,2.2,0.28,0.12
18,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,CP-818,Truthfully Labelled,29.36,4.8,2.72
19,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,DKC-9126 IJ-8512,Truthfully Labelled,7.88,0.52,0.68
20,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,GK-3018,Truthfully Labelled,2.4,0.56,0.88
21,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,GK-3045,Truthfully Labelled,21.76,6.96,2.72
22,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,GK-3059,Truthfully Labelled,27.92,4.28,1.2
23,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,GK-3164,Truthfully Labelled,2.4,0.92,0
24,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,HTMH-5203,Truthfully Labelled,2.84,0.8,0.36
25,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,HTMH-5402,Truthfully Labelled,13.48,1.52,0.96
26,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,JKMH-4848,Truthfully Labelled,2.68,0.04,0.04
27,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,KAVERI 25K55,Truthfully Labelled,32.28,7.96,2.84
28,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,KHHM-102,Truthfully Labelled,0.16,0,0
29,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,KMH-244,Truthfully Labelled,25.64,6.68,2.92
30,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,KMH-517 SHIMSHA,Truthfully Labelled,15.96,2.72,0.68
31,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,NK-6240,Truthfully Labelled,9.4,1.08,1.08
32,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,NMH-007 BOND,Truthfully Labelled,0.36,0,0.16
33,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,P3436,Truthfully Labelled,5.36,0.36,0.44
34,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,PAC740,Truthfully Labelled,3.76,0.36,0.52
35,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,PAC751,Truthfully Labelled,18.92,4.2,1.76
36,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,RAJKUMARBIO-716,Truthfully Labelled,4.16,1.6,1.52
37,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,SMH-3516,Truthfully Labelled,0.32,0,0
38,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY SUNFLOWER,GK-2002,Truthfully Labelled,2.1,0.38,0.16
39,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY SUNFLOWER,KSFH-7049CHAMP,Truthfully Labelled,1.92,0.1,0.02
40,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY SUNFLOWER,PAC-334,Truthfully Labelled,2.46,0.16,0.32
41,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,REDGRAM,TS-3R,Certified Seeds,1.35,0.35,0.25
42,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,GREENGRAM,BGS-9,Certified Seeds,10.05,1.3,0.75
43,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,GREENGRAM,BGS-9,Truthfully Labelled,12.85,1.55,2.4
44,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY BAJRA,1827,Truthfully Labelled,0.3,0,0
45,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY BAJRA,GK-1044,Truthfully Labelled,1.22,0.05,0.15
46,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY BAJRA,HANUMAN,Truthfully Labelled,13.58,1.44,1.79
47,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY BAJRA,KAVERI SUPER BOSS,Truthfully Labelled,7.29,1.2,1.08
48,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY BAJRA,MRB-2262,Truthfully Labelled,0.05,0,0
49,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY BAJRA,SBH-7072,Truthfully Labelled,0.03,0,0
50,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY BAJRA,VIKASNBJ-09,Truthfully Labelled,0.03,0.09,0
51,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,3033 747,Truthfully Labelled,0.8,0.4,0.16
52,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,3591,Truthfully Labelled,2.04,1.92,0.84
53,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,900M GOLD,Truthfully Labelled,39.76,6.08,2.64
54,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,BIO-151,Truthfully Labelled,2.04,0.32,0.28
55,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,CP-818,Truthfully Labelled,46.56,7.52,4.68
56,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,GK-3045,Truthfully Labelled,1.44,0.36,0.2
57,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,GK-3059,Truthfully Labelled,1.68,0.24,0
58,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,HTMH-5108,Truthfully Labelled,0.44,0,0
59,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,HTMH-5402,Truthfully Labelled,7.36,1.2,0.52
60,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,JKMH-4848,Truthfully Labelled,0.24,0.08,0
61,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,KAVERI 25K55,Truthfully Labelled,12.8,2.64,1.64
62,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,KMH-244,Truthfully Labelled,17.96,5.6,2.52
63,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,KMH-517 SHIMSHA,Truthfully Labelled,24.32,2.52,1.48
64,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,NLM-66,Truthfully Labelled,13.48,2,1.08
65,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,NMH-77NUTOTAL,Truthfully Labelled,1.92,0.36,0.36
66,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,PAC740,Truthfully Labelled,3.96,0.64,0.16
67,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,PAC751,Truthfully Labelled,2.52,0.48,1
68,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,RAJKUMARBIO-716,Truthfully Labelled,0.96,0.32,0.44
69,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,SMH-3516,Truthfully Labelled,1.28,0.44,0
70,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY SUNFLOWER,GK-2002,Truthfully Labelled,1.46,0.16,0.14
71,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY SUNFLOWER,KSFH-7049CHAMP,Truthfully Labelled,0,0.24,0.06
72,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY SUNFLOWER,PAC-334,Truthfully Labelled,1.6,0.1,0.06
73,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,REDGRAM,TS-3R,Certified Seeds,6.6,1.25,0.25
74,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,GREENGRAM,BGS-9,Certified Seeds,5.15,0.5,0.35
75,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,GREENGRAM,BGS-9,Truthfully Labelled,7.25,0.45,0.3
76,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY BAJRA,1827,Truthfully Labelled,2.65,0.09,0.26
77,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY BAJRA,GK-1044,Truthfully Labelled,1.73,0.03,0.23
78,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY BAJRA,HANUMAN,Truthfully Labelled,8.36,0.5,0.44
79,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY BAJRA,JKBH-26,Truthfully Labelled,0.48,0,0.02
80,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY BAJRA,KAVERI SUPER BOSS,Truthfully Labelled,3.37,0.24,0.29
81,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY BAJRA,MRB-2262,Truthfully Labelled,1.31,0.03,0.03
82,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY BAJRA,S-333,Truthfully Labelled,0.69,0.11,0
83,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY JOWAR,HTJH- 3208,Truthfully Labelled,0.21,0,0
84,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,3033 747,Truthfully Labelled,29.12,1.28,4.4
85,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,30B07,Truthfully Labelled,27.32,1.44,5.96
86,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,3591,Truthfully Labelled,11.96,0.6,1.04
87,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,900M GOLD,Truthfully Labelled,36.64,2.76,2.36
88,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,ALLROUNDER,Truthfully Labelled,30.72,1.72,4.72
89,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,BIO-151,Truthfully Labelled,1.04,0,0
90,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,CP-818,Truthfully Labelled,35.84,2.2,2.16
91,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,DKC-9126 IJ-8512,Truthfully Labelled,11.12,0.08,1.16
92,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,GK-3045,Truthfully Labelled,10.52,0.48,1
93,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,GK-3059,Truthfully Labelled,12.08,0.52,2.2
94,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,GK-3164,Truthfully Labelled,0.2,0,0
95,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,HTMH-5402,Truthfully Labelled,8.32,0.28,0.24
96,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,JKMH-4848,Truthfully Labelled,1.12,0.6,0.36
97,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,KAVERI 25K55,Truthfully Labelled,30.88,0.84,2.6
98,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,KHHM-102,Truthfully Labelled,1.84,0.2,0.76
99,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,KMH-244,Truthfully Labelled,32.84,1.16,0.72
100,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,KMH-517 SHIMSHA,Truthfully Labelled,12.96,0.2,0.32
101,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,MRM 4050 4750,Truthfully Labelled,0.56,0,0.24
102,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,NK-6240,Truthfully Labelled,11.12,0.72,1.2
103,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,NLM-66,Truthfully Labelled,8.36,0.2,0.16
104,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,NMH-77NUTOTAL,Truthfully Labelled,1.28,0.28,0
105,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,P3436,Truthfully Labelled,4.52,0.08,1
106,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,PAC740,Truthfully Labelled,9.16,0.68,0.2
107,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,PAC751,Truthfully Labelled,23.64,2.32,1.52
108,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,RAJKUMARBIO-716,Truthfully Labelled,1.96,0.12,0.44
109,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,S-120,Truthfully Labelled,2.68,0,0.28
110,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,SM-2,Truthfully Labelled,1.6,0,0.08
111,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,SM-505,Truthfully Labelled,4.44,0.4,0
112,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY MAIZE,TARA,Truthfully Labelled,1,0.08,0.12
113,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY SUNFLOWER,KSFH-7049CHAMP,Truthfully Labelled,0.2,0.04,0.06
114,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,HY SUNFLOWER,PAC-334,Truthfully Labelled,2.08,0,0.02
115,2021-2022,Kharif,BAGALAKOTE,BADAMI,KULAGERI,REDGRAM,TS-3R,Certified Seeds,2.6,0.2,0.15
116,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,GREENGRAM,BGS-9,Certified Seeds,6.3,2.25,0.6
117,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,GREENGRAM,BGS-9,Truthfully Labelled,11.65,1.55,1.3
118,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY BAJRA,GK-1044,Truthfully Labelled,2.36,0.48,0.59
119,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY BAJRA,KAVERI SUPER BOSS,Truthfully Labelled,1.01,0.26,0.14
120,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY BAJRA,MRB-2262,Truthfully Labelled,0.3,0,0
121,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY MAIZE,30B07,Truthfully Labelled,4.28,1.52,0.48
122,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY MAIZE,900M GOLD,Truthfully Labelled,39.28,6.56,3.96
123,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY MAIZE,GK-3018,Truthfully Labelled,3.2,2.4,0.2
124,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY MAIZE,GK-3045,Truthfully Labelled,2.64,0.96,0.08
125,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY MAIZE,GK-3059,Truthfully Labelled,24.88,5,3.04
126,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY MAIZE,GK-3164,Truthfully Labelled,6.76,0.32,2.88
127,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY MAIZE,HTMH-5402,Truthfully Labelled,0.4,0.44,0.36
128,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY MAIZE,KAVERI 25K55,Truthfully Labelled,3.72,2.04,0.48
129,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY MAIZE,PAC751,Truthfully Labelled,3.44,0.8,0.52
130,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY SUNFLOWER,GK-2002,Truthfully Labelled,0.52,0.14,0.24
131,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY SUNFLOWER,KSFH-7049CHAMP,Truthfully Labelled,0.98,0.8,0.36
132,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,HY SUNFLOWER,PAC-334,Truthfully Labelled,5.06,1,0.84
133,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,BAGALAKOTA,REDGRAM,TS-3R,Certified Seeds,25.85,4.1,3.4
134,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,GREENGRAM,BGS-9,Certified Seeds,7.4,1.3,0.85
135,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,GREENGRAM,BGS-9,Truthfully Labelled,12.25,0.25,0.5
136,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,HY BAJRA,GK-1044,Truthfully Labelled,5.42,0.65,0.65
137,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,HY BAJRA,KAVERI SUPER BOSS,Truthfully Labelled,1.95,0.12,0.11
138,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,HY MAIZE,30B07,Truthfully Labelled,0.36,0,0
139,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,HY MAIZE,900M GOLD,Truthfully Labelled,14.52,1.04,0.72
140,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,HY MAIZE,CP-818,Truthfully Labelled,7.04,1.68,1.16
141,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,HY MAIZE,GK-3018,Truthfully Labelled,3.32,0.24,0.36
142,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,HY MAIZE,GK-3059,Truthfully Labelled,23.24,3.68,3.76
143,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,HY MAIZE,GK-3164,Truthfully Labelled,7.32,0.68,0.92
144,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,HY MAIZE,HTMH-5402,Truthfully Labelled,0,0,0.16
145,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,HY MAIZE,KAVERI 25K55,Truthfully Labelled,3.52,0.12,0
146,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,HY MAIZE,KMH-244,Truthfully Labelled,0.12,0,0
147,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,HY MAIZE,PAC751,Truthfully Labelled,11.8,1.68,1.2
148,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,HY SUNFLOWER,GK-2002,Truthfully Labelled,0.84,0.04,0
149,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,HY SUNFLOWER,PAC-334,Truthfully Labelled,1.74,0.92,0.32
150,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,KALADAGI,REDGRAM,TS-3R,Certified Seeds,8.9,1.15,0.45
151,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,SEETIMANI,GREENGRAM,BGS-9,Truthfully Labelled,1.4,0.35,0
152,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,SEETIMANI,HY BAJRA,GK-1044,Truthfully Labelled,1.2,0.17,0.05
153,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,SEETIMANI,HY BAJRA,KAVERI SUPER BOSS,Truthfully Labelled,1.14,0.23,0.06
154,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,SEETIMANI,HY MAIZE,GK-3018,Truthfully Labelled,1.08,0.28,0
155,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,SEETIMANI,HY MAIZE,GK-3045,Truthfully Labelled,0.08,0,0.08
156,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,SEETIMANI,HY MAIZE,GK-3059,Truthfully Labelled,2,0.8,0
157,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,SEETIMANI,HY MAIZE,KAVERI 25K55,Truthfully Labelled,0.92,0,0
158,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,SEETIMANI,HY MAIZE,KMH-244,Truthfully Labelled,0.16,0.08,0
159,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,SEETIMANI,HY SUNFLOWER,GK-2002,Truthfully Labelled,0,0,0.14
160,2021-2022,Kharif,BAGALAKOTE,BAGALKOT,SEETIMANI,REDGRAM,TS-3R,Certified Seeds,16.4,2.75,1.05
161,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,GREENGRAM,BGS-9,Certified Seeds,0.2,0.05,0
162,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,GREENGRAM,BGS-9,Truthfully Labelled,10.08,3.58,3.6
163,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,HY BAJRA,GK-1044,Truthfully Labelled,3.44,0.42,0.54
164,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,HY BAJRA,KAVERI SUPER BOSS,Truthfully Labelled,2.72,0.42,0.45
165,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,HY BAJRA,MRB-2262,Truthfully Labelled,1.51,0.09,0.22
166,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,HY MAIZE,30B07,Truthfully Labelled,1,0.28,0.28
167,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,HY MAIZE,900M GOLD,Truthfully Labelled,61.48,17.72,14
168,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,HY MAIZE,CP-818,Truthfully Labelled,1.44,0.44,0.12
169,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,HY MAIZE,GK-3018,Truthfully Labelled,0.72,0.28,0.16
170,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,HY MAIZE,GK-3059,Truthfully Labelled,5.84,1.16,1.8
171,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,HY MAIZE,KAVERI 25K55,Truthfully Labelled,7.8,2.96,1.44
172,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,HY MAIZE,MRM 4050 4750,Truthfully Labelled,4.96,1.64,1.28
173,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,HY MAIZE,PAC751,Truthfully Labelled,10.24,3.68,3.28
174,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,HY SUNFLOWER,GK-2002,Truthfully Labelled,1.18,0.26,0.34
175,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,HY SUNFLOWER,KSFH-7049CHAMP,Truthfully Labelled,0.26,0,0.04
176,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,REDGRAM,TS-3R,Certified Seeds,14.6,1.15,0.95
177,2021-2022,Kharif,BAGALAKOTE,BILAGI,ANAGAVADI,SOYBEAN,JS-335,Certified Seeds,24.9,0,0
178,2021-2022,Kharif,BAGALAKOTE,BILAGI,BEELAGI,GREENGRAM,BGS-9,Truthfully Labelled,8.3,0.8,0.6
179,2021-2022,Kharif,BAGALAKOTE,BILAGI,BEELAGI,HY BAJRA,GK-1044,Truthfully Labelled,3.78,0.24,0.47
180,2021-2022,Kharif,BAGALAKOTE,BILAGI,BEELAGI,HY BAJRA,KAVERI SUPER BOSS,Truthfully Labelled,3.03,0.39,0.33
181,2021-2022,Kharif,BAGALAKOTE,BILAGI,BEELAGI,HY BAJRA,MRB-2262,Truthfully Labelled,1.25,0.29,0.27
182,2021-2022,Kharif,BAGALAKOTE,BILAGI,BEELAGI,HY MAIZE,3033 747,Truthfully Labelled,1.28,0.52,0.36
183,2021-2022,Kharif,BAGALAKOTE,BILAGI,BEELAGI,HY MAIZE,30B07,Truthfully Labelled,5.68,1.12,0.96
184,2021-2022,Kharif,BAGALAKOTE,BILAGI,BEELAGI,HY MAIZE,3591,Truthfully Labelled,1,0.2,0.16
185,2021-2022,Kharif,BAGALAKOTE,BILAGI,BEELAGI,HY MAIZE,900M GOLD,Truthfully Labelled,29.96,8.12,5.08
186,2021-2022,Kharif,BAGALAKOTE,BILAGI,BEELAGI,HY MAIZE,CP-818,Truthfully Labelled,1.08,0,0.04
187,2021-2022,Kharif,BAGALAKOTE,BILAGI,BEELAGI,HY MAIZE,DKC-9126 IJ-8512,Truthfully Labelled,21.32,4.16,5.88
188,2021-2022,Kharif,BAGALAKOTE,BILAGI,BEELAGI,HY MAIZE,GK-3045,Truthfully Labelled,1.76,0.24,0.24
189,2021-2022,Kharif,BAGALAKOTE,BILAGI,BEELAGI,HY MAIZE,GK-3059,Truthfully Labelled,19.64,3.68,5.12
190,2021-2022,Kharif,BAGALAKOTE,BILAGI,BEELAGI,HY MAIZE,KAVERI 25K55,Truthfully Labelled,13.2,1.76,2.12
